id;instrument_id;instrument;brand;model;name;price;image_folder;image;description
1;violin;Скрипка;Pirastro;Pirastro Aricore violin SET;Аккорд (комплект);"15034,95";;;
2;violin;Скрипка;Pirastro;"Pirastro Aricore violin E, шарик";Струна Ми;"927,99";;;
3;violin;Скрипка;Pirastro;"Pirastro Aricore violin E, петля";Струна Ми;"927,99";;;
4;violin;Скрипка;Pirastro;Pirastro Aricore violin A;"Струна Ля, алюминий";"4067,28";;;
5;violin;Скрипка;Pirastro;Pirastro Aricore violin D;"Струна Ре, алюминий";"4460,4";;;
6;violin;Скрипка;Pirastro;"Pirastro Aricore violin G, silver";"Струна Соль, серебро";"5583,06";;;
7;violin;Скрипка;Pirastro;Pirastro Aricore violin D;"Струна Ре, сталь";"4887,54";;;
8;violin;Скрипка;Pirastro;Pirastro Chorda violin SET;Аккорд (комплект);"11018,7";;;
9;violin;Скрипка;Pirastro;"Pirastro Chorda violin E, gut";Струна Ми;"2069,55";;;
10;violin;Скрипка;Pirastro;"Pirastro Chorda violin A, gut";Струна Ля;"2283,12";;;
11;violin;Скрипка;Pirastro;"Pirastro Chorda violin D, gut";Струна Ре;"2765,07";;;
12;violin;Скрипка;Pirastro;"Pirastro Chorda violin G, gut, silver plated";Струна Соль;"3906,63";;;
13;violin;Скрипка;Pirastro;"Pirastro Chorda violin G, gut, copper";Струна Соль;"3925,53";;;
14;violin;Скрипка;Pirastro;"Pirastro Chorda violin G, Chordaflex, gut";Струна Соль;"13428,45";;;
15;violin;Скрипка;Pirastro;Pirastro Chromcor violin SET;Аккорд (комплект);"5755,05";;;
16;violin;Скрипка;Pirastro;"Pirastro Chromcor violin E, ball end, chrome steel";"Струна Ми, шарик, сталь";"718,2";;;
17;violin;Скрипка;Pirastro;"Pirastro Chromcor violin E, loop, chrome steel";"Струна Ля, петля, сталь";"718,2";;;
18;violin;Скрипка;Pirastro;"Pirastro Chromcor violin A, steel, chrome steel";"Струна Ля, сталь";"1447,74";;;
19;violin;Скрипка;Pirastro;"Pirastro Chromcor violin D, steel, chrome steel";"Струна Ре, сталь";"1757,7";;;
20;violin;Скрипка;Pirastro;"Pirastro Chromcor violin G, steel, chrome steel";"Струна Соль, сталь";"1867,32";;;
21;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-gold with E-ball end";"Аккорд (комплект), Струна Ми шарик, Соль золото";"23936,85";;;
22;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-gold with E-loop end";"Аккорд (комплект), Струна Ми петля, Соль золото";"23936,85";;;
23;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-silver with E-ball end";"Аккорд (комплект), Струна Ми  шарик,  Соль серебро";"16036,65";;;
24;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-silver with E-loop end";"Аккорд (комплект), Струна Ми петля, Соль серебро";"16036,65";;;
25;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin E, ball end, steel";"Струна Ми шарик, сталь";"1033,83";;;
26;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin E, loop end, stainless steel";"Струна Ми петля, сталь";"1033,83";;;
27;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin A, aluminum";"Струна Ля, алюминий";"4031,37";;;
28;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin D, silver";"Струна Ре, серебро";"4906,44";;;
29;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin G, gold";"Струна Соль, золото";"13968,99";;;
30;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin, G-silver";"Струна Соль, серебро";"6065,01";;;
31;violin;Скрипка;Pirastro;Pirastro Evah Pirazzi Neo violin SET;Аккорд (комплект);"15762,6";;;
32;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Neo violin E, gold steel removeable ball 26,8";"Струна Ми, шарик";"1946,7";;;
