id;instrument_id;instrument;brand;model;name;price;image_folder;image;description
1;violin;Скрипка;Pirastro; Aricore;Аккорд (комплект);15 035 ;;;
2;violin;Скрипка;Pirastro; Aricore;"Струна Ми, шарик";928;;;
3;violin;Скрипка;Pirastro; Aricore;"Струна Ми, петля";928;;;
4;violin;Скрипка;Pirastro; Aricore;"Струна Ля, алюминий";4 067 ;;;
5;violin;Скрипка;Pirastro; Aricore;"Струна Ре, алюминий";4 460 ;;;
6;violin;Скрипка;Pirastro; Aricore;"Струна Соль, серебро";5 583 ;;;
7;violin;Скрипка;Pirastro; Aricore;"Струна Ре, сталь";4 888 ;;;
8;violin;Скрипка;Pirastro; Chorda;Аккорд (комплект);11 019 ;;;
9;violin;Скрипка;Pirastro; Chorda;Струна Ми;2 070 ;;;
10;violin;Скрипка;Pirastro; Chorda;Струна Ля;2 283 ;;;
11;violin;Скрипка;Pirastro; Chorda;Струна Ре;2 765 ;;;
12;violin;Скрипка;Pirastro; Chorda;Струна Соль;3 907 ;;;
13;violin;Скрипка;Pirastro; Chorda;Струна Соль;3 926 ;;;
14;violin;Скрипка;Pirastro; Chorda;Струна Соль;13 428 ;;;
15;violin;Скрипка;Pirastro; Chromcor;Аккорд (комплект);5 755 ;;;
16;violin;Скрипка;Pirastro; Chromcor;"Струна Ми, шарик, сталь";718;;;
17;violin;Скрипка;Pirastro; Chromcor;"Струна Ми, петля, сталь";718;;;
18;violin;Скрипка;Pirastro; Chromcor;"Струна Ля, сталь";1 448 ;;;
19;violin;Скрипка;Pirastro; Chromcor;"Струна Ре, сталь";1 758 ;;;
20;violin;Скрипка;Pirastro; Chromcor;"Струна Соль, сталь";1 867 ;;;
21;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Аккорд (комплект), Струна Ми шарик, Соль золото";23 937 ;;;
22;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Аккорд (комплект), Струна Ми петля, Соль золото";23 937 ;;;
23;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Аккорд (комплект), Струна Ми  шарик,  Соль серебро";16 037 ;;;
24;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Аккорд (комплект), Струна Ми петля, Соль серебро";16 037 ;;;
25;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Ми шарик, сталь";1 034 ;;;
26;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Ми петля, сталь";1 034 ;;;
27;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Ля, алюминий";4 031 ;;;
28;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Ре, серебро";4 906 ;;;
29;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Соль, золото";13 969 ;;;
30;violin;Скрипка;Pirastro; Evah Pirazzi Gold;"Струна Соль, серебро";6 065 ;;;
31;violin;Скрипка;Pirastro; Evah Pirazzi Neo;Аккорд (комплект);15 763 ;;;
32;violin;Скрипка;Pirastro; Evah Pirazzi Neo;"Струна Ми, шарик";1 947 ;;;
33;violin;Скрипка;Pirastro; Evah Pirazzi Neo;"Струна Ля, алюминий, синтетика";3 695 ;;;
34;violin;Скрипка;Pirastro; Evah Pirazzi Neo;"Струна Ре, синтетика, серебро";3 695 ;;;
35;violin;Скрипка;Pirastro; Evah Pirazzi Neo;"Струна Соль, синтетика, серебро";5 481 ;;;
36;violin;Скрипка;Pirastro; Gold;"Аккорд (комплект), Струна Ми  шарик";12 909 ;;;
37;violin;Скрипка;Pirastro; Gold;"Аккорд (комплект), Струна Ми петля";12 909 ;;;
38;violin;Скрипка;Pirastro; Gold;"Струна Ми, шарик, сталь";928;;;
39;violin;Скрипка;Pirastro; Gold;"Струна Ми петля, сталь";928;;;
40;violin;Скрипка;Pirastro; Gold;"Струна Ля, алюминий";3 835 ;;;
41;violin;Скрипка;Pirastro; Gold;"Струна Ре, алюминий, серебро";3 890 ;;;
42;violin;Скрипка;Pirastro; Gold;"Струна Соль, серебро";4 264 ;;;
43;violin;Скрипка;Pirastro; Obligato;"Струна Ми, шарик, позолоченная сталь";2 569 ;;;
44;violin;Скрипка;Pirastro; Obligato;"Струна Ми, петля, позолоченная сталь";2 569 ;;;
45;violin;Скрипка;Pirastro; Obligato;"Струна Ля, алюминий";3 621 ;;;
46;violin;Скрипка;Pirastro; Obligato;"Струна Ре, серебро";4 799 ;;;
47;violin;Скрипка;Pirastro; Obligato;"Струна Соль, серебро";5 566 ;;;
48;violin;Скрипка;Pirastro; Obligato;"Аккорд (комплект), Струна Ми шарик, позолоченная сталь";16 556 ;;;
49;violin;Скрипка;Pirastro; Obligato;"Аккорд (комплект), Струна Ми петля, позолоченная сталь";16 556 ;;;
50;violin;Скрипка;Pirastro; Obligato;"Струна Ля, алюминий";4 086 ;;;
51;violin;Скрипка;Pirastro; Obligato;"Струна Ре, алюминий";4 496 ;;;
52;violin;Скрипка;Pirastro; Obligato;"Струна Ми шарик, сталь";928;;;
53;violin;Скрипка;Pirastro; Obligato;"Струна Ми петля, сталь";928;;;
54;violin;Скрипка;Pirastro; Obligato;"Аккорд (комплект), Струна Ми  шарик";14 912 ;;;
55;violin;Скрипка;Pirastro; Obligato;"Аккорд (комплект), Струна Ми петля";14 912 ;;;
56;violin;Скрипка;Pirastro; Obligato;"Струна Ми шарик, сталь";620;;;
57;violin;Скрипка;Pirastro; Obligato;"Струна Ля, алюминий";1 737 ;;;
58;violin;Скрипка;Pirastro; Obligato;"Струна Ре, серебро";1 856 ;;;
59;violin;Скрипка;Pirastro; Obligato;"Струна Ре, серебро";1 916 ;;;
