id;instrument;brand;model;name;price;image;description
1;Скрипка;Pirastro;Pirastro Aricore violin SET;Аккорд (комплект);13 495 ;;
2;Скрипка;Pirastro;"Pirastro Aricore violin E, шарик";Струна Ми; 833 ;;
3;Скрипка;Pirastro;"Pirastro Aricore violin E, петля";Струна Ми; 833 ;;
4;Скрипка;Pirastro;Pirastro Aricore violin A;"Струна Ля, алюминий";3 651 ;;
5;Скрипка;Pirastro;Pirastro Aricore violin D;"Струна Ре, алюминий";4 004 ;;
6;Скрипка;Pirastro;"Pirastro Aricore violin G, silver";"Струна Соль, серебро";5 011 ;;
7;Скрипка;Pirastro;Pirastro Aricore violin D;"Струна Ре, сталь";4 387 ;;
8;Скрипка;Pirastro;Pirastro Chorda violin SET;Аккорд (комплект);9 890 ;;
9;Скрипка;Pirastro;"Pirastro Chorda violin E, gut";Струна Ми;1 858 ;;
10;Скрипка;Pirastro;"Pirastro Chorda violin A, gut";Струна Ля;2 049 ;;
11;Скрипка;Pirastro;"Pirastro Chorda violin D, gut";Струна Ре;2 482 ;;
12;Скрипка;Pirastro;"Pirastro Chorda violin G, gut, silver plated";Струна Соль;3 507 ;;
13;Скрипка;Pirastro;"Pirastro Chorda violin G, gut, copper";Струна Соль;3 524 ;;
14;Скрипка;Pirastro;"Pirastro Chorda violin G, Chordaflex, gut";Струна Соль;12 053 ;;
15;Скрипка;Pirastro;Pirastro Chromcor violin SET;Аккорд (комплект);5 166 ;;
16;Скрипка;Pirastro;"Pirastro Chromcor violin E, ball end, chrome steel";"Струна Ми, шарик, сталь"; 645 ;;
17;Скрипка;Pirastro;"Pirastro Chromcor violin E, loop, chrome steel";"Струна Ля, петля, сталь"; 645 ;;
18;Скрипка;Pirastro;"Pirastro Chromcor violin A, steel, chrome steel";"Струна Ля, сталь";1 299 ;;
19;Скрипка;Pirastro;"Pirastro Chromcor violin D, steel, chrome steel";"Струна Ре, сталь";1 578 ;;
20;Скрипка;Pirastro;"Pirastro Chromcor violin G, steel, chrome steel";"Струна Соль, сталь";1 676 ;;
21;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-gold with E-ball end";"Аккорд (комплект), Струна Ми шарик, Соль золото";21 486 ;;
22;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-gold with E-loop end";"Аккорд (комплект), Струна Ми петля, Соль золото";21 486 ;;
23;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-silver with E-ball end";"Аккорд (комплект), Струна Ми  шарик,  Соль серебро";14 394 ;;
24;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin SET, G-silver with E-loop end";"Аккорд (комплект), Струна Ми петля, Соль серебро";14 394 ;;
25;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin E, ball end, steel";"Струна Ми шарик, сталь"; 928 ;;
26;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin E, loop end, stainless steel";"Струна Ми петля, сталь"; 928 ;;
27;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin A, aluminum";"Струна Ля, алюминий";3 619 ;;
28;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin D, silver";"Струна Ре, серебро";4 404 ;;
29;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin G, gold";"Струна Соль, золото";12 539 ;;
30;Скрипка;Pirastro;"Pirastro Evah Pirazzi Gold violin, G-silver";"Струна Соль, серебро";5 444 ;;
31;Скрипка;Pirastro;Pirastro Evah Pirazzi Neo violin SET;Аккорд (комплект);14 149 ;;
32;Скрипка;Pirastro;"Pirastro Evah Pirazzi Neo violin E, gold steel removeable ball 26,8";"Струна Ми, шарик";1 747 ;;
33;Скрипка;Pirastro;"Pirastro Evah Pirazzi Neo violin A, synthetic/aluminum";"Струна Ля, алюминий, синтетика";3 317 ;;
34;Скрипка;Pirastro;"Pirastro Evah Pirazzi Neo violin D, synthetic/silver";"Струна Ре, синтетика, серебро";3 317 ;;
35;Скрипка;Pirastro;"Pirastro Evah Pirazzi Neo violin G, synthetic/silver";"Струна Соль, синтетика, серебро";4 920 ;;
36;Скрипка;Pirastro;"Pirastro Gold violin SET, E-ball";"Аккорд (комплект), Струна Ми  шарик";11 558 ;;
37;Скрипка;Pirastro;"Pirastro Gold violin SET, E-loop";"Аккорд (комплект), Струна Ми петля";11 558 ;;
38;Скрипка;Pirastro;"Pirastro Gold violin E, ball end, steel";"Струна Ми, шарик, сталь"; 831 ;;
39;Скрипка;Pirastro;"Pirastro Gold violin E loop end, steel";"Струна Ми петля, сталь"; 831 ;;
40;Скрипка;Pirastro;"Pirastro Gold violin A, gut, aluminum";"Струна Ля, алюминий";3 434 ;;
41;Скрипка;Pirastro;"Pirastro Gold violin D, gut, silver, aluminum";"Струна Ре, алюминий, серебро";3 483 ;;
42;Скрипка;Pirastro;"Pirastro Gold violin G, gut, silver";"Струна Соль, серебро";3 818 ;;
43;Скрипка;Pirastro;"Pirastro Obligato violin E, ball, gold steel";"Струна Ми, шарик, позолоченная сталь";2 300 ;;
44;Скрипка;Pirastro;"Pirastro Obligato violin E, loop, gold steel";"Струна Ми, петля, позолоченная сталь";2 300 ;;
45;Скрипка;Pirastro;"Pirastro Obligato violin A, aluminum";"Струна Ля, алюминий";3 242 ;;
46;Скрипка;Pirastro;"Pirastro Obligato violin D, silver";"Струна Ре, серебро";4 297 ;;
47;Скрипка;Pirastro;"Pirastro Obligato violin G, silver";"Струна Соль, серебро";4 984 ;;
48;Скрипка;Pirastro;"Pirastro Obligato violin SET, E-ball, gold steel";"Аккорд (комплект), Струна Ми шарик, позолоченная сталь";14 825 ;;
